"Opinion polling",,,,,,
"Date published","Polling agency","UPA","NDA","Lead",,
" Mar 2019","Times Now-VMR",0,2,2,,
,,,,,,
"Results for Odisha (21)",,,,,,
"Date published","Polling agency","NDA","UPA","BJD","Lead",
" Jan 2019","ABP News - Cvoter",12,0,9,3,
" Nov 2018","ABP News - Cvoter",13,3,5,6,
" Oct 2018","Spick Media",1,4,16,12,
" Oct 2018","ABP News- CSDS",13,2,6,7,
,,,,,,
"Results for Punjab (13)",,,,,,
"Date published","Polling agency","NDA","UPA","AAP","Lead",
" Mar 2019"," Zee 24 Taas",1,10,2,6,
" Mar 2019","India TV",3,9,1,6,
" Jan 2019","ABP News - Cvoter",1,12,0,11,
" Nov 2018","Spick Media",1,8,4,4,
" Oct 2018","ABP News- CSDS",1,12,0,11,
,,,,,,
"Results for Rajasthan (25)",,,,,,
"Date published","Polling agency","NDA","UPA","Lead",,
" March 2019","News Nation",17,8,9,,
" Jan 2019","India TV - CNX",15,10,5,,
" Jan 2019","VDP Associates",12,13,1,,
" Nov 2018","ABP News- C Voters",17,8,9,,
" Oct 2018","Spick Media",10,15,5,,
" Oct 2018","Times Now",24,1,23,,
" Oct 2018","ABP News- CSDS",18,7,11,,
,,,,,,
"Results for Tamil Nadu (39)",,,,,,
"Date published","Polling agency","UPA","NDA","AIADMK","Lead",
" Mar 2019","News Nation",34,5,0,29,
" Mar 2019","Times",18,15,6,3,
" Mar 2019","India TV-CNX",22,15,2,7,
,,,,,,
"Results for Telangana (17)",,,,,,
"Date published","Polling agency","TRS","UPA","BJP","AIMIM","Lead"
" Mar 2019","Times Now-VMR",12,1,2,1,12
" Jan 2019","Spick Media",17,0,0,0,17
" Jan 2019","Republic Tv - Cvoter",16,0,0,1,15
" Oct 2018","Spick Media",6,7,3,1,1
,,,,,,
"Results for Uttar Pradesh (80)",,,,,,
"Date published","Polling agency","NDA","UPA","SP-BSP","Lead",
" March 2019","Times Now-VMR",42,2,36,6,
" March 2019","News Nation",35,2,43,8,
" March 2019","India TV-CNX",41,4,35,6,
" Feb 2019","Spick Media",25,4,51,26,
" Jan 2019","Times Now-VMR",27,2,51,24,
" Jan 2019","ABP News - Cvoter",25,4,51,26,
" Jan 2019","India Today",18,4,58,40,
" Jan 2019","ABP News- C Voter",31,5,44,13,
" Nov 2018","ABP News- C Voter",31,5,44,13,
" Oct 2018","ABP News- CSDS",36,2,42,6,
,"Average",29,4,47,22,
"Results for Uttarakhand (5)",,,,,,
"Date published","Polling agency","NDA","UPA","Lead",,
" Jan 2018","Republic Tv - Cvoter",5,"–",5,,
" Jan 2019","India TV - CNX",4,1,3,,
,,,,,,
"Results for West Bengal (42)",,,,,,
"Date published","Polling agency","NDA","UPA","AITC","LF","Lead"
" Feb 2019","Spick Media",8,2,16,16,"–"
" Jan 2019","Republic Tv - Cvoter",7,1,34,0,27
" Nov 2018","Spick Media",5,4,32,1,27
" Nov 2018","ABP News- C Voter",9,1,32,"–",23
,,,,,,
"Results for Andaman and Nicobar Islands (1)",,,,,,
"Date published","Polling agency","NDA","UPA","Lead",,
" Jan 2019","Republic Tv -Cvoter",1,"–",1,,
,,,,,,
"Results for Chandigarh (1)",,,,,,
"Date published","Polling agency","NDA","UPA","Lead",,
" Jan 2019","Republic Tv -Cvoter",1,"–",1,,
,,,,,,
"Results for Dadra and Nagar Haveli (1)",,,,,,
"Date published","Polling agency","NDA","UPA","Lead",,
" Jan 2019","Republic Tv -Cvoter",1,"–",1,,
,,,,,,
"Results for Lakshadweep (1)",,,,,,
"Date published","Polling agency","NDA","UPA","Lead",,
" Jan 2019","Republic Tv - Cvoter","–",1,1,,
,,,,,,
"Results for Puducherry (1)",,,,,,
"Date published","Polling agency","NDA","UPA","Lead",,
" Jan 2019","Spick Media","–",1,1,,
" Jan 2019","Republic Tv - Cvoter","–",1,1,,
,,,,,,
"Results for NCT of Delhi (7)",,,,,,
"Date published","Polling agency","NDA","UPA","AAP","Lead",
" March 2019","News Nation",6,0,1,5,
" Jan 2019","India TV - CNX",5,1,1,4,
" Oct 2018","ABP News- CSDS",4,"–",3,1,
